quote,author,tags
“a woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,['general']
“the man who does not read has no advantage over the man who cannot read.”,Mark Twain,['general']
“if you don't stand for something you will fall for anything.”,Gordon A. Eadie,['general']
"“i may not have gone where i intended to go, but i think i have ended up where i needed to be.”","douglas adams,",['general']
"“i love you without knowing how, or when, or from where. i love you simply, without problems or pride: i love you in this way because i do not know any other way of loving but this, in which there is no i or you, so intimate that your hand upon my chest is my hand, so intimate that when i fall asleep your eyes close.”","Pablo Neruda,",['general']
“i solemnly swear that i am up to no good.”,"J.K. Rowling,",['general']
"“outside of a dog, a book is man's best friend. inside of a dog it's too dark to read.”","Groucho Marx,",['general']
“i am enough of an artist to draw freely upon my imagination. imagination is more important than knowledge. knowledge is limited. imagination encircles the world.”,Albert Einstein,['general']
"“love all, trust a few, do wrong to none.”","William Shakespeare,",['general']
"“i like nonsense, it wakes up the brain cells. fantasy is a necessary ingredient in living.”",Dr. Seuss,['general']
“have you ever been in love? horrible isn't it? it makes you so vulnerable. it opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.”,"Neil Gaiman,",['general']
"“a day without sunshine is like, you know, night.”",Steve Martin,['general']
"“a reader lives a thousand lives before he dies, said jojen. the man who never reads lives only one.”","George R.R. Martin,",['general']
“never put off till tomorrow what may be done day after tomorrow just as well.”,Mark Twain,['general']
“,"Kent M. Keith,",['general']
“you have brains in your head. you have feet in your shoes. you can steer yourself any direction you choose. you're on your own. and you know what you know. and you are the one who'll decide where to go...”,"Dr. Seuss,",['general']
“that which does not kill us makes us stronger.”,Friedrich Nietzsche,['general']
"“being deeply loved by someone gives you strength, while loving someone deeply gives you courage.”",Lao Tzu,['general']
“it is never too late to be what you might have been.”,George Eliot,['general']
“for every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson,['general']
"“it takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”","J.K. Rowling,",['general']
"“this life is what you make it. no matter what, you're going to mess up sometimes, it's a universal truth. but the good part is you get to decide how you're going to mess it up. girls will be your friends - they'll act like it anyway. but just remember, some come, some go. the ones that stay with you through everything - they're your true best friends. don't let go of them. also remember, sisters make the best friends in the world. as for lovers, well, they'll come and go too. and baby, i hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. you'll never find that half who makes you whole and that goes for everything. just because you fail once, doesn't mean you're gonna fail at everything. keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? so keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe,['general']
“i love deadlines. i love the whooshing noise they make as they go by.”,"Douglas Adams,",['general']
"“if you judge people, you have no time to love them.”",Mother Teresa,['general']
"“there is never a time or place for true love. it happens accidentally, in a heartbeat, in a single flashing, throbbing moment.”","Sarah Dessen,",['general']
"“if you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein,['general']
"“i'm not upset that you lied to me, i'm upset that from now on i can't believe you.”",Friedrich Nietzsche,['general']
“there is no greater agony than bearing an untold story inside you.”,"Maya Angelou,",['general']
“love is that condition in which the happiness of another person is essential to your own.”,"Robert A. Heinlein,",['general']
“anyone who thinks sitting in church can make you a christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,['general']
"“if you only read the books that everyone else is reading, you can only think what everyone else is thinking.”","Haruki Murakami,",['general']
“i have always imagined that paradise will be a kind of library.”,Jorge Luis Borges,['general']
“everything you can imagine is real.”,Pablo Picasso,['general']
